75,FF0A,2006,2D06,3B06,8206
0C,0CE8,062E,063C,0682,0676
0C,0CE9,062E,063B,0681,0675
0C,0CEA,062C,0639,0682,0675
0C,0CEB,062B,0639,0680,0673
0C,0CEC,062C,063A,0681,0675
0C,0CED,062E,063B,0682,0676
0C,0CEE,062D,063B,0681,0675
0C,0CEF,062B,0639,0681,0674
0C,0CF0,062A,0637,0680,0673
0C,0CF1,062C,063B,0681,0674
0C,0CF2,062E,063C,0682,0676
0C,0CF3,062D,063B,0681,0676
0C,0CF4,062C,063A,0681,0674
0C,0CF5,062C,0638,067F,0673
0C,0CF6,062D,063A,0681,0675
0C,0CF7,062F,063C,0681,0675
0C,0CF8,062D,063A,0681,0675
0C,0CF9,062D,0639,0681,0674
0C,0CFA,062C,0639,0680,0673
0C,0CFB,062C,063A,0681,0674
0C,0CFC,062D,063C,0682,0676
0C,0CFD,062D,063C,0681,0675
0C,0CFE,062D,063A,0680,0673
0C,0CFF,062B,0638,0680,0673
0C,0D00,062D,063A,0681,0674
0C,0D01,062F,063B,0681,0676
0C,0D02,062D,063B,0681,0675
0C,0D03,062C,063A,0681,0675
0C,0D04,062C,0638,0680,0673
0C,0D05,062C,063A,0681,0675
0C,0D06,062E,063B,0682,0676
0C,0D07,062D,063A,0681,0675
0C,0D08,062D,063A,0681,0674
0C,0D09,062B,0638,067F,0673
0C,0D0A,062D,063A,0680,0674
0C,0D0B,062D,063B,0682,0676
0C,0D0C,062E,063B,0681,0675
0C,0D0D,062D,0639,0680,0675
0C,0D0E,062B,0638,0680,0673
0C,0D0F,062C,063A,0681,0674
0C,0D10,062E,063B,0682,0676
0C,0D11,062D,063A,0682,0675
0C,0D12,062D,063A,0681,0674
0C,0D13,062C,0638,0680,0673
0C,0D14,062D,063A,0681,0674
0C,0D15,062E,063C,0682,0676
0C,0D16,062E,063B,0681,0675
0C,0D17,062C,0639,0681,0675
0C,0D18,062B,0638,0680,0673
0C,0D19,062C,063A,0681,0674
0C,0D1A,062D,063B,0682,0675
0C,0D1B,062E,063B,0681,0674
0C,0D1C,062C,063A,0681,0674
0C,0D1D,062B,0638,0680,0673
0C,0D1E,062D,063A,0680,0674
0C,0D1F,062E,063B,0681,0676
0C,0D20,062E,063B,0681,0675
0C,0D21,062C,0639,0681,0674
0C,0D22,062B,0637,0680,0673
0C,0D23,062C,063A,0681,0674
0C,0D24,062F,063B,0681,0676
0C,0D25,062D,063A,0681,0676
0C,0D26,062D,063A,0681,0674
0C,0D27,062C,0638,067F,0673
0C,0D28,062C,063A,0681,0674
0C,0D29,062E,063B,0682,0676
0C,0D2A,062E,063B,0681,0675
0C,0D2B,062D,063A,0680,0674
0C,0D2C,062C,0638,0680,0673
0C,0D2D,062D,0639,0680,0674
0C,0D2E,062E,063B,0681,0676
0C,0D2F,062D,063B,0681,0676
0C,0D30,062D,0639,0681,0675
0C,0D31,062B,0638,0680,0674
0C,0D32,062C,063B,0681,0674
0C,0D33,062E,063B,0682,0676
0C,0D34,062D,063B,0681,0676
0C,0D35,062D,063A,0681,0674
0C,0D36,062B,0638,0680,0673
0C,0D37,062C,0639,0681,0674
0C,0D38,062D,063C,0682,0675
0C,0D39,062E,063B,0681,0675
0C,0D3A,062D,063A,0681,0674
0C,0D3B,062B,0639,0680,0673
0C,0D3C,062C,0639,0680,0674
0C,0D3D,062E,063B,0681,0676
0C,0D3E,062E,063B,0681,0674
0C,0D3F,062D,0639,0681,0674
0C,0D40,062C,0638,0680,0673
0C,0D41,062D,063A,0680,0674
0C,0D42,062E,063C,0681,0676
0C,0D43,062E,063B,0681,0676
0C,0D44,062D,0639,0681,0675
0C,0D45,062C,0638,0680,0673
0C,0D46,062C,063A,0681,0674
0C,0D47,062E,063C,0682,0676
0C,0D48,062E,063B,0681,0675
0C,0D49,062D,063A,0681,0674
0C,0D4A,062B,0639,0680,0673
0C,0D4B,062C,0639,0680,0674
0C,0D4C,062E,063B,0682,0676
0C,0D4D,062D,063B,0681,0675
0C,0D4E,062C,0639,0681,0675
0C,0D4F,062B,0638,0680,0673
0C,0D50,062C,0639,0680,0674
0C,0D51,062E,063B,0681,0676
0C,0D52,062E,063B,0681,0676
0C,0D53,062D,063A,0682,0674
0C,0D54,062B,0639,0680,0673
0C,0D55,062C,063A,0681,0674
0C,0D56,062E,063C,0682,0676
0C,0D57,062E,063A,0682,0676
0C,0D58,062D,063A,0681,0675
0C,0D59,062B,0639,0680,0673
0C,0D5A,062C,0639,0680,0674
0C,0D5B,062E,063B,0682,0676
0C,0D5C,062D,063C,0681,0675
0C,0D5D,062D,063A,0681,0674
0C,0D5E,062B,0638,0680,0673
0C,0D5F,062C,0639,0681,0674
0C,0D60,062D,063B,0682,0676
0C,0D61,062D,063B,0681,0675
0C,0D62,062C,0639,0681,0675
0C,0D63,062B,0638,067F,0673
0C,0D64,062C,0639,0680,0674
0C,0D65,062E,063B,0682,0676
0C,0D66,062E,063A,0680,0675
0C,0D67,062D,063A,0681,0675
0C,0D68,062C,0638,0680,0673
0C,0D69,062C,0639,0680,0674
0C,0D6A,062E,063B,0682,0676
0C,0D6B,062E,063B,0681,0675
0C,0D6C,062D,063A,0681,0675
0C,0D6D,062C,0639,0680,0673
0C,0D6E,062D,0639,0680,0674
0C,0D6F,062E,063C,0681,0675
0C,0D70,062D,063C,0682,0676
0C,0D71,062D,0639,0681,0674
0C,0D72,062C,0638,067F,0673
0C,0D73,062C,0639,0681,0674
0C,0D74,062E,063C,0681,0676
0C,0D75,062D,063A,0682,0676
0C,0D76,062C,063A,0682,0674
0C,0D77,062C,0638,0680,0673
0C,0D78,062C,0639,0680,0674
0C,0D79,062E,063B,0682,0676
0C,0D7A,062E,063B,0681,0675
0C,0D7B,062C,0639,0681,0675
0C,0D7C,062B,0638,0680,0673
0C,0D7D,062C,0639,0680,0674
0C,0D7E,062E,063B,0682,0676
0C,0D7F,062D,063C,0682,0676
0C,0D80,062D,063A,0681,0674
0C,0D81,062B,0638,0680,0674
0C,0D82,062C,0639,0680,0674
0C,0D83,062E,063B,0682,0676
0C,0D84,062E,063B,0681,0675
0C,0D85,062D,063A,0681,0675
0C,0D86,062C,0639,0680,0673
0C,0D87,062C,0639,0680,0674
0C,0D88,062E,063B,0682,0676
0C,0D89,062E,063B,0681,0675
0C,0D8A,062D,063A,0681,0675
0C,0D8B,062C,0639,0680,0673
0C,0D8C,062C,0639,0680,0674
0C,0D8D,062D,063C,0682,0676
0C,0D8E,062E,063C,0682,0676
0C,0D8F,062D,063A,0681,0675
0C,0D90,062C,0638,0680,0674
0C,0D91,062C,0639,0681,0673
0C,0D92,062E,063B,0682,0676
0C,0D93,062E,063B,0681,0676
0C,0D94,062C,063A,0681,0675
0C,0D95,062C,0638,067F,0673
0C,0D96,062C,0639,0680,0674
0C,0D97,062E,063B,0682,0676
0C,0D98,062E,063B,0681,0675
0C,0D99,062C,063A,0681,0674
0C,0D9A,062C,0638,0680,0673
0C,0D9B,062C,0638,0680,0674
0C,0D9C,062E,063B,0681,0676
0C,0D9D,062E,063C,0682,0676
0C,0D9E,062D,063A,0681,0674
0C,0D9F,062B,0638,0680,0673
0C,0DA0,062C,0639,0680,0673
0C,0DA1,062D,063B,0682,0676
0C,0DA2,062E,063B,0681,0675
0C,0DA3,062C,063A,0681,0674
0C,0DA4,062B,0638,0680,0673
0C,0DA5,062B,0639,0680,0674
0C,0DA6,062E,063B,0681,0676
0C,0DA7,062E,063B,0681,0675
0C,0DA8,062C,063A,0681,0675
0C,0DA9,062B,0639,0680,0673
0C,0DAA,062B,0639,0680,0674
0C,0DAB,062D,063B,0682,0676
0C,0DAC,062E,063C,0681,0675
0C,0DAD,062D,063A,0681,0675
0C,0DAE,062C,0639,0680,0673
0C,0DAF,062C,0639,0680,0674
0C,0DB0,062D,063B,0682,0675
0C,0DB1,062E,063B,0681,0675
0C,0DB2,062D,063A,0681,0674
0C,0DB3,062C,0638,067F,0673
0C,0DB4,062B,0638,0680,0674
0C,0DB5,062E,063B,0682,0676
0C,0DB6,062E,063B,0682,0675
0C,0DB7,062D,063A,0681,0675
0C,0DB8,062C,0638,0680,0674
0C,0DB9,062C,0639,0680,0674
0C,0DBA,062D,063B,0682,0676
0C,0DBB,062E,063C,0682,0675
0C,0DBC,062C,0639,0681,0674
0C,0DBD,062B,0638,0680,0674
0C,0DBE,062B,0638,0680,0673
0C,0DBF,062D,063B,0681,0675
0C,0DC0,062D,063B,0682,0676
0C,0DC1,062D,063A,0681,0674
0C,0DC2,062C,0638,0680,0674
0C,0DC3,062B,0639,0680,0673
0C,0DC4,062E,063C,0682,0675
0C,0DC5,062E,063B,0681,0675
0C,0DC6,062C,063A,0681,0675
0C,0DC7,062C,0639,0680,0673
0C,0DC8,062B,0638,0680,0674
0C,0DC9,062E,063B,0681,0676
0C,0DCA,062E,063C,0681,0675
0C,0DCB,062D,063A,0681,0674
0C,0DCC,062B,0638,0681,0674
0C,0DCD,062C,0639,0680,0673
0C,0DCE,062E,063B,0682,0676
0C,0DCF,062E,063B,0681,0676
0C,0DD0,062E,063A,0680,0675
0C,0DD1,062C,0638,0680,0673
0C,0DD2,062B,0639,0680,0673
0C,0DD3,062E,063B,0681,0676
0C,0DD4,062E,063B,0681,0676
0C,0DD5,062D,063A,0681,0675
0C,0DD6,062C,0639,0680,0673
0C,0DD7,062B,0638,0680,0674
0C,0DD8,062E,063B,0682,0676
0C,0DD9,062E,063C,0681,0676
0C,0DDA,062D,063A,0682,0675
0C,0DDB,062B,0639,0681,0674
0C,0DDC,062B,0639,0680,0673
0C,0DDD,062D,063A,0681,0676
0C,0DDE,062E,063C,0682,0676
0C,0DDF,062D,0639,0681,0675
0C,0DE0,062B,0638,0680,0674
0C,0DE1,062C,0639,0680,0674
0C,0DE2,062E,063C,0682,0676
0C,0DE3,062E,063C,0682,0676
0C,0DE4,062D,063A,0681,0675
0C,0DE5,062C,0638,0680,0674
0C,0DE6,062C,0638,0680,0674
0C,0DE7,062D,063C,0681,0675
0C,0DE8,062E,063C,0681,0675
0C,0DE9,062C,0639,0681,0674
0C,0DEA,062C,0639,0680,0674
0C,0DEB,062C,0639,0680,0674
0C,0DEC,062E,063C,0682,0676
0C,0DED,062E,063C,0682,0675
0C,0DEE,062D,063A,0681,0674
0C,0DEF,062B,0638,0680,0673
0C,0DF0,062B,0638,0680,0673
0C,0DF1,062E,063B,0682,0676
0C,0DF2,062E,063C,0682,0677
0C,0DF3,062D,063A,0681,0675
0C,0DF4,062C,0639,0680,0674
0C,0DF5,062B,0638,0680,0674
0C,0DF6,062D,063B,0681,0675
0C,0DF7,062E,063C,0682,0676
0C,0DF8,062D,063A,0681,0675
0C,0DF9,062B,0639,0680,0673
0C,0DFA,062B,0638,067F,0673
0C,0DFB,062E,063B,0681,0675
0C,0DFC,062F,063C,0682,0676
0C,0DFD,062D,063B,0681,0675
0C,0DFE,062C,0638,0681,0674
0C,0DFF,062B,0639,0680,0673
0C,0E00,062D,063B,0682,0676
0C,0E01,062E,063C,0682,0676
0C,0E02,062D,063A,0682,0676
0C,0E03,062D,0639,0680,0674
0C,0E04,062B,0638,0680,0674
0C,0E05,062D,063B,0682,0675
0C,0E06,062D,063C,0681,0675
0C,0E07,062C,063A,0681,0674
0C,0E08,062C,0639,0680,0673
0C,0E09,062C,0638,067F,0673
0C,0E0A,062D,063B,0681,0675
0C,0E0B,062E,063C,0682,0676
0C,0E0C,062D,063A,0681,0675
0C,0E0D,062B,0638,0680,0674
0C,0E0E,062B,0638,0680,0674
0C,0E0F,062E,063C,0681,0676
0C,0E10,062E,063B,0681,0676
0C,0E11,062D,063B,0681,0674
0C,0E12,062C,0638,0681,0673
0C,0E13,062B,0638,0680,0673
0C,0E14,062D,063B,0681,0675
0C,0E15,062E,063C,0682,0676
0C,0E16,062D,063A,0681,0675
0C,0E17,062C,0639,0680,0674
0C,0E18,062C,0638,067F,0674
0C,0E19,062E,063B,0682,0676
0C,0E1A,062E,063C,0682,0676
0C,0E1B,062D,063A,0681,0674
0C,0E1C,062C,0638,0680,0674
0C,0E1D,062C,0639,0680,0673
0C,0E1E,062E,063B,0681,0675
0C,0E1F,062E,063C,0681,0676
0C,0E20,062D,063A,0681,0675
0C,0E21,062C,0639,0681,0674
0C,0E22,062B,0639,0680,0674
0C,0E23,062E,063C,0682,0676
0C,0E24,062F,063B,0682,0677
0C,0E25,062D,063A,0681,0675
0C,0E26,062C,0639,0681,0674
0C,0E27,062C,0639,0680,0673
0C,0E28,062D,063B,0682,0676
0C,0E29,062D,063C,0681,0675
0C,0E2A,062D,063A,0680,0674
0C,0E2B,062B,0638,067F,0673
0C,0E2C,062B,0638,067F,0672
0C,0E2D,062D,063B,0681,0675
0C,0E2E,062E,063B,0682,0676
0C,0E2F,062D,063A,0681,0675
0C,0E30,062C,0638,0680,0674
0C,0E31,062B,0638,0680,0674
0C,0E32,062D,063B,0682,0675
0C,0E33,062E,063C,0682,0676
0C,0E34,062D,063A,0681,0675
0C,0E35,062B,0639,0681,0674
0C,0E36,062B,0637,0680,0674
0C,0E37,062D,063B,0682,0676
0C,0E38,062D,063C,0682,0675
0C,0E39,062C,0639,0681,0675
0C,0E3A,062B,0638,0680,0674
0C,0E3B,062B,0638,067F,0673
0C,0E3C,062D,063B,0681,0675
0C,0E3D,062E,063C,0682,0676
0C,0E3E,062D,063A,0681,0675
0C,0E3F,062B,0638,0680,0673
0C,0E40,062B,0637,0680,0673
0C,0E41,062D,063B,0682,0675
0C,0E42,062E,063C,0682,0676
0C,0E43,062C,063B,0681,0674
0C,0E44,062B,0638,0680,0673
0C,0E45,062B,0637,067F,0673
0C,0E46,062E,063B,0682,0675
0C,0E47,062F,063C,0682,0676
0C,0E48,062D,063A,0681,0675
0C,0E49,062C,0639,0680,0673
0C,0E4A,062B,0638,0680,0672
0C,0E4B,062D,063B,0681,0676
0C,0E4C,062D,063B,0682,0676
0C,0E4D,062D,063A,0680,0674
0C,0E4E,062C,0638,0681,0674
0C,0E4F,062B,0639,0680,0673
0C,0E50,062E,063B,0682,0676
0C,0E51,062F,063B,0681,0677
0C,0E52,062D,063B,0681,0675
0C,0E53,062C,063A,0681,0674
0C,0E54,062B,0638,0680,0674
0C,0E55,062D,063B,0682,0675
0C,0E56,062E,063C,0681,0675
0C,0E57,062E,063A,0681,0675
0C,0E58,062C,0639,0681,0675
0C,0E59,062D,0639,0681,0674
0C,0E5A,062E,063C,0682,0676
0C,0E5B,062E,063C,0682,0675
0C,0E5C,062D,063A,0681,0674
0C,0E5D,062C,0638,0680,0674
0C,0E5E,062C,0638,067F,0672
0C,0E5F,062E,063B,0681,0675
0C,0E60,062F,063C,0682,0676
0C,0E61,062E,063B,0681,0674
0C,0E62,062C,0639,0680,0673
0C,0E63,062B,0637,067F,0673
0C,0E64,062D,063B,0681,0674
0C,0E65,062E,063C,0681,0675
0C,0E66,062D,063A,0681,0674
0C,0E67,062C,0639,0681,0674
0C,0E68,062B,0638,067F,0673
0C,0E69,062D,063B,0681,0675
0C,0E6A,062E,063C,0681,0676
0C,0E6B,062D,063A,0680,0674
0C,0E6C,062C,0639,0680,0673
0C,0E6D,062A,0638,067F,0672
0C,0E6E,062D,063A,0680,0674
0C,0E6F,062D,063B,0681,0675
0C,0E70,062C,063A,0680,0674
0C,0E71,062B,0638,067F,0673
0C,0E72,062C,0638,067F,0673
0C,0E73,062E,063B,0682,0676
0C,0E74,062F,063C,0682,0677
0C,0E75,062E,063B,0682,0676
0C,0E76,062C,0639,0681,0674
0C,0E77,062C,0639,0680,0673
0C,0E78,062D,063B,0681,0675
0C,0E79,062D,063C,0682,0676
0C,0E7A,062D,063A,0680,0675
0C,0E7B,062C,0638,0680,0674
0C,0E7C,062B,0638,067F,0673
0C,0E7D,062D,063B,0681,0674
0C,0E7E,062E,063B,0682,0676
0C,0E7F,062D,063B,0681,0674
0C,0E80,062C,0639,0680,0673
0C,0E81,062B,0638,0680,0673
0C,0E82,062D,063B,0682,0675
0C,0E83,062E,063C,0682,0675
0C,0E84,062C,063A,0681,0675
0C,0E85,062C,0639,0680,0673
0C,0E86,062B,0638,067F,0672
0C,0E87,062D,063B,0681,0675
0C,0E88,062E,063C,0682,0675
0C,0E89,062D,063A,0681,0675
0C,0E8A,062C,0639,0680,0673
0C,0E8B,062B,0638,0680,0673
0C,0E8C,062D,063B,0681,0675
0C,0E8D,062E,063B,0682,0676
0C,0E8E,062C,063A,0681,0674
0C,0E8F,062B,0639,0681,0673
0C,0E90,062B,0638,0680,0673
0C,0E91,062D,063B,0681,0675
0C,0E92,062E,063C,0681,0676
0C,0E93,062D,063A,0681,0675
0C,0E94,062C,0639,0680,0674
0C,0E95,062C,0638,0680,0673
0C,0E96,062D,063B,0682,0676
0C,0E97,062E,063C,0682,0676
0C,0E98,062D,063B,0681,0674
0C,0E99,062C,0639,0680,0674
0C,0E9A,062C,0638,0680,0673
0C,0E9B,062E,063A,0681,0675
0C,0E9C,062E,063B,0681,0676
0C,0E9D,062D,063A,0680,0674
0C,0E9E,062C,0638,0680,0674
0C,0E9F,062B,0638,067F,0673
0C,0EA0,062D,063A,0681,0675
0C,0EA1,062E,063B,0681,0675
0C,0EA2,062D,063A,0681,0675
0C,0EA3,062C,0638,0680,0674
0C,0EA4,062C,0638,067F,0673
0C,0EA5,062D,063B,0681,0675
0C,0EA6,062E,063C,0682,0675
0C,0EA7,062E,063B,0680,0675
0C,0EA8,062D,0639,0680,0674
0C,0EA9,062C,0639,067F,0672
0C,0EAA,062D,063B,0681,0675
0C,0EAB,062E,063C,0682,0676
0C,0EAC,062D,063B,0682,0675
0C,0EAD,062C,0639,0681,0674
0C,0EAE,062B,0637,0680,0674
0C,0EAF,062E,063B,0681,0675
0C,0EB0,062F,063C,0682,0676
0C,0EB1,062D,063A,0681,0675
0C,0EB2,062B,0638,0680,0674
0C,0EB3,062B,0638,067F,0672
0C,0EB4,062D,063A,0681,0675
0C,0EB5,062E,063B,0681,0676
0C,0EB6,062D,063A,0680,0674
0C,0EB7,062B,0638,0680,0674
0C,0EB8,062B,0638,0680,0672
0C,0EB9,062D,063A,0680,0675
0C,0EBA,062E,063B,0681,0675
0C,0EBB,062D,063B,0681,0674
0C,0EBC,062C,0639,0680,0674
0C,0EBD,062B,0638,0680,0673
0C,0EBE,062E,063A,0681,0675
0C,0EBF,062E,063C,0682,0676
0C,0EC0,062D,063B,0681,0675
0C,0EC1,062C,0639,0680,0674
0C,0EC2,062B,0637,067F,0673
0C,0EC3,062D,063A,0681,0676
0C,0EC4,062E,063B,0681,0676
0C,0EC5,062D,063A,0681,0675
0C,0EC6,062C,0639,0680,0674
0C,0EC7,062B,0639,0680,0673
0C,0EC8,062D,063A,0682,0675
0C,0EC9,062D,063B,0682,0676
0C,0ECA,062C,063A,0680,0674
0C,0ECB,062C,0638,0680,0674
0C,0ECC,062B,0637,067F,0674
0C,0ECD,062D,063B,0681,0675
0C,0ECE,062E,063C,0681,0676
0C,0ECF,062E,063B,0681,0676
0C,0ED0,062D,0639,0680,0674
0C,0ED1,062C,0638,067F,0673
0C,0ED2,062D,063B,0680,0675
0C,0ED3,062E,063C,0681,0675
0C,0ED4,062C,063A,0681,0675
0C,0ED5,062B,0638,0680,0674
0C,0ED6,062B,0638,0680,0673
0C,0ED7,062D,063A,0681,0675
0C,0ED8,062E,063B,0681,0676
0C,0ED9,062C,063A,0681,0675
0C,0EDA,062C,0639,0680,0674
0C,0EDB,062B,0638,0680,0673
0C,0EDC,062D,063A,0681,0675
0C,0EDD,062E,063B,0681,0676
0C,0EDE,062C,063A,0681,0675
0C,0EDF,062C,0639,0681,0674
0C,0EE0,062B,0638,067F,0673
0C,0EE1,062D,063A,0681,0675
0C,0EE2,062D,063C,0681,0675
0C,0EE3,062D,063A,0680,0674
0C,0EE4,062C,0639,0680,0673
0C,0EE5,062B,0638,067F,0672
0C,0EE6,062D,063B,0681,0675
0C,0EE7,062F,063B,0681,0676
0C,0EE8,062D,063B,0681,0675
0C,0EE9,062C,063A,0680,0674
0C,0EEA,062C,0638,067F,0674
0C,0EEB,062D,063B,0681,0675
0C,0EEC,062E,063B,0682,0676
0C,0EED,062D,063A,0681,0675
0C,0EEE,062C,0639,0680,0674
0C,0EEF,062B,0638,0680,0673
0C,0EF0,062D,063A,0681,0675
0C,0EF1,062E,063C,0682,0676
0C,0EF2,062D,063A,0681,0675
0C,0EF3,062C,0638,0681,0674
0C,0EF4,062B,0639,0680,0673
0C,0EF5,062D,063B,0681,0675
0C,0EF6,062E,063B,0682,0676
0C,0EF7,062D,063A,0681,0675
0C,0EF8,062C,0638,0680,0674
0C,0EF9,062B,0637,067F,0673
0C,0EFA,062D,063B,0680,0675
0C,0EFB,062E,063B,0681,0676
0C,0EFC,062D,063A,0680,0675
0C,0EFD,062C,0639,0681,0673
0C,0EFE,062B,0638,0680,0673
0C,0EFF,062D,063A,0681,0676
0C,0F00,062E,063B,0681,0676
0C,0F01,062D,063B,0681,0674
0C,0F02,062C,0639,0680,0673
0C,0F03,062B,0638,067F,0673
0C,0F04,062D,063A,0680,0675
0C,0F05,062E,063B,0681,0676
0C,0F06,062D,063A,0681,0675
0C,0F07,062C,0639,0680,0674
0C,0F08,062B,0637,067F,0673
0C,0F09,062D,063B,0681,0675
0C,0F0A,062D,063B,0682,0676
0C,0F0B,062D,063A,0681,0675
0C,0F0C,062C,0639,0680,0674
0C,0F0D,062B,0639,067F,0672
0C,0F0E,062C,063A,0681,0675
0C,0F0F,062D,063B,0681,0675
0C,0F10,062C,063A,0680,0674
0C,0F11,062C,0638,0680,0674
0C,0F12,062B,0638,0680,0673
0C,0F13,062D,063B,0681,0675
0C,0F14,062E,063C,0681,0676
0C,0F15,062D,063B,0681,0675
0C,0F16,062C,0638,0680,0674
0C,0F17,062C,0638,067F,0673
0C,0F18,062D,063B,0681,0675
0C,0F19,062E,063C,0682,0675
0C,0F1A,062D,063A,0681,0675
0C,0F1B,062C,0639,0681,0675
0C,0F1C,062C,0639,0680,0673
0C,0F1D,062D,063B,0681,0675
0C,0F1E,062D,063C,0682,0676
0C,0F1F,062D,063B,0682,0674
0C,0F20,062B,0639,0680,0673
0C,0F21,062B,0638,0680,0673
0C,0F22,062D,063B,0681,0675
0C,0F23,062E,063C,0682,0676
0C,0F24,062D,063B,0681,0675
0C,0F25,062C,0639,0680,0673
0C,0F26,062B,0638,067F,0673
0C,0F27,062D,063A,0681,0675
0C,0F28,062F,063C,0681,0675
0C,0F29,062D,063A,0680,0674
0C,0F2A,062C,0639,0680,0673
0C,0F2B,062B,0638,067F,0672
0C,0F2C,062D,063A,0681,0675
0C,0F2D,062E,063C,0682,0676
0C,0F2E,062D,063A,0681,0675
0C,0F2F,062B,0638,0680,0674
0C,0F30,062A,0637,0680,0673
0C,0F31,062C,063A,0681,0675
0C,0F32,062E,063B,0682,0676
0C,0F33,062D,063A,0681,0676
0C,0F34,062C,0639,0680,0674
0C,0F35,062C,0638,0680,0674
0C,0F36,062D,063B,0681,0675
0C,0F37,062E,063C,0682,0676
0C,0F38,062D,063A,0681,0675
0C,0F39,062C,0639,0680,0674
0C,0F3A,062B,0638,0680,0673
0C,0F3B,062D,063A,0681,0676
0C,0F3C,062E,063B,0682,0676
0C,0F3D,062D,063B,0681,0675
0C,0F3E,062C,0639,0680,0674
0C,0F3F,062B,0637,0680,0673
0C,0F40,062D,063A,0681,0675
0C,0F41,062D,063B,0681,0675
0C,0F42,062C,063A,0681,0674
0C,0F43,062B,0638,0680,0673
0C,0F44,062B,0637,067F,0673
0C,0F45,062C,063A,0681,0675
0C,0F46,062E,063C,0682,0676
0C,0F47,062D,063A,0681,0675
0C,0F48,062B,0639,0680,0674
0C,0F49,062B,0638,0680,0672
0C,0F4A,062D,063A,0681,0675
0C,0F4B,062E,063B,0681,0676
0C,0F4C,062D,063B,0681,0675
0C,0F4D,062D,0639,0680,0674
0C,0F4E,062C,0638,0680,0674
0C,0F4F,062D,063B,0682,0676
0C,0F50,062E,063B,0682,0676
0C,0F51,062D,063B,0681,0675
0C,0F52,062C,0639,0680,0674
0C,0F53,062B,0637,067F,0673
0C,0F54,062D,063A,0681,0675
0C,0F55,062E,063C,0682,0675
0C,0F56,062D,063A,0681,0675
0C,0F57,062C,0639,0681,0675
0C,0F58,062C,0639,0680,0674
0C,0F59,062D,063B,0682,0676
0C,0F5A,062E,063C,0682,0676
0C,0F5B,062D,063A,0682,0675
0C,0F5C,062C,0639,0681,0675
0C,0F5D,062C,0638,0680,0674
0C,0F5E,062E,063B,0682,0676
0C,0F5F,062F,063C,0682,0677
0C,0F60,062E,063B,0681,0676
0C,0F61,062D,0639,0681,0674
0C,0F62,062C,0639,0681,0674
0C,0F63,062F,063B,0682,0676
0C,0F64,062F,063D,0683,0676
0C,0F65,062E,063B,0682,0675
0C,0F66,062C,0639,0681,0674
0C,0F67,062B,0638,0680,0673
0C,0F68,062E,063A,0681,0676
0C,0F69,062F,063C,0682,0677
0C,0F6A,062E,063C,0682,0676
0C,0F6B,062D,063A,0681,0674
0C,0F6C,062C,0638,0680,0674
0C,0F6D,062D,063A,0681,0676
0C,0F6E,062D,063B,0682,0676
0C,0F6F,062D,063A,0681,0675
0C,0F70,062B,0638,0680,0673
0C,0F71,062B,0639,0680,0672
0C,0F72,062C,063A,0681,0675
0C,0F73,062E,063C,0682,0676
0C,0F74,062D,063A,0681,0675
0C,0F75,062C,0639,0680,0674
0C,0F76,062B,0638,067F,0673
0C,0F77,062D,063B,0681,0675
0C,0F78,062E,063C,0682,0676
0C,0F79,062D,063B,0682,0675
0C,0F7A,062D,063A,0681,0675
0C,0F7B,062C,0638,0680,0674
0C,0F7C,062D,063A,0681,0675
0C,0F7D,062E,063C,0681,0675
0C,0F7E,062D,0639,0681,0675
0C,0F7F,062C,0638,0681,0674
0C,0F80,062B,0638,0680,0673
0C,0F81,062D,063A,0681,0675
0C,0F82,062E,063C,0682,0676
0C,0F83,062E,063C,0682,0676
0C,0F84,062D,0639,0681,0674
0C,0F85,062B,0638,0680,0673
0C,0F86,062D,063B,0681,0675
0C,0F87,062F,063C,0682,0676
0C,0F88,062D,063B,0681,0675
0C,0F89,062C,0639,0680,0673
0C,0F8A,062C,0639,067F,0673
0C,0F8B,062E,063B,0681,0675
0C,0F8C,062E,063B,0682,0676
0C,0F8D,062D,063A,0681,0674
0C,0F8E,062C,0639,0680,0673
0C,0F8F,062B,0638,067F,0673
0C,0F90,062D,063A,0681,0675
0C,0F91,062E,063B,0682,0676
0C,0F92,062D,063A,0681,0675
0C,0F93,062C,0639,0680,0674
0C,0F94,062B,0638,0680,0673
0C,0F95,062D,063A,0681,0674
0C,0F96,062E,063B,0681,0675
0C,0F97,062C,063A,0681,0675
0C,0F98,062C,0639,0680,0674
0C,0F99,062C,0638,0680,0673
0C,0F9A,062D,063B,0682,0676
0C,0F9B,062E,063C,0682,0676
0C,0F9C,062E,063A,0681,0675
0C,0F9D,062D,0639,0680,0674
0C,0F9E,062B,0639,0680,0673
0C,0F9F,062E,063B,0681,0674
0C,0FA0,062E,063C,0682,0675
0C,0FA1,062D,063B,0681,0675
0C,0FA2,062C,0639,0680,0674
0C,0FA3,062B,0637,067F,0673
0C,0FA4,062D,063A,0681,0675
0C,0FA5,062E,063C,0681,0676
0C,0FA6,062D,063A,0681,0675
0C,0FA7,062C,0639,0680,0674
0C,0FA8,062C,0639,067F,0672
0C,0FA9,062D,063B,0681,0675
0C,0FAA,062E,063C,0682,0676
0C,0FAB,062D,063A,0681,0675
0C,0FAC,062C,0639,0680,0673
0C,0FAD,062B,0638,0680,0673
0C,0FAE,062D,063A,0681,0675
0C,0FAF,062E,063B,0681,0676
0C,0FB0,062D,063A,0681,0675
0C,0FB1,062C,0639,0680,0673
